locatie,detalii,pret
"Iasi, IS, Nicolina",1 cameră  •  35 m²  •  etajul 2  •  2000  •  decomandat,280 eur
"Botosani, BT, Est",4 camere  •  79 m²  •  etajul 4/4  •  1980  •  decomandat,50.000 eur
"Bucuresti, IF, Drumul Taberei",4 camere  •  63 m²  •  etajul 4/10  •  1973  •  semidecomandat,94.000 eur
"Bucuresti, IF, Dristor",4 camere  •  150 m²  •  etajul 4/5  •  2011  •  decomandat,149.000 eur
"Brasov, BV, Calea Bucuresti",3 camere  •  70 m²  •  etajul 9  •  1980  •  decomandat,80.000 eur
"Voluntari, IF, Central",2 camere  •  50 m²  •  etajul 4/9  •  2010  •  semidecomandat,95.000 eur
"Constanta, CT, Mamaia Nord",2 camere  •  43 m²  •  etajul 5/7  •  2019  •  decomandat,110.000 eur
"Constanta, CT, Mamaia Nord",2 camere  •  50 m²  •  etajul 7/8  •  2021  •  decomandat,120.000 eur
"Bucuresti, IF, Dristor",3 camere  •  69 m²  •  etajul 8/8  •  1983  •  decomandat,97.500 eur
"Bucuresti, IF, Nicolae Grigorescu",2 camere  •  43 m²  •  etajul 8/8  •  1977  •  decomandat,65.000 eur
"Craiova, DJ, Lapus",3 camere  •  68 m²  •  etajul 4  •  1979  •  decomandat,88.500 eur
"Bragadiru, IF, Central",2 camere  •  51 m²  •  etajul 3  •  2019  •  decomandat,37.900 eur
"Oradea, BH, Europa",4 camere  •  74 m²  •  etajul 4/5  •  2019  •  decomandat,134.000 eur
"Bragadiru, IF, Central",3 camere  •  80 m²  •  etajul 3/4  •  2015  •  semidecomandat,76.000 eur
"Bucuresti, IF, Colentina",4 camere  •  78 m²  •  etajul 2/8  •  1982  •  decomandat,165.000 eur
"Timisoara, TM, Dacia",2 camere  •  40 m²  •  etajul 3/5  •  1980  •  nedecomandat,69.999 eur
"Bucuresti, IF, Crangasi",2 camere  •  60 m²  •  etajul 3/8  •  1982  •  decomandat,92.900 eur
"Oradea, BH, Rogerius",2 camere  •  48 m²  •  etajul 6  •  1980  •  decomandat,59.900 eur
"Tulcea, TL, C5",3 camere  •  70 m²  •  etajul 1/4  •  1980  •  decomandat,90.000 eur
"Timisoara, TM, P-ta Doina",3 camere  •  50 m²  •  etajul 1/12+  •  1980  •  decomandat,87.000 eur
"Sibiu, SB, Central",4 camere  •  96 m²  •  etajul 5/5  •  1970  •  nedecomandat,90.000 eur
"Bucuresti, IF, Alba Iulia",3 camere  •  75 m²  •  etajul 3/8  •  1996  •  decomandat,162.000 eur
"Bucuresti, IF, Dristor",3 camere  •  67 m²  •  etajul 6/8  •  1985  •  decomandat,114.900 eur
"Bucuresti, IF, Fundeni",3 camere  •  125 m²  •  etajul 3/3  •  2019  •  semidecomandat,140.000 eur
"Timisoara, TM, Braytim",1 cameră  •  30 m²  •  etajul 1/3  •  2021  •  decomandat,45.000 eur
"Braila, BR, Bariera",1 cameră  •  37 m²  •  etajul 3  •  1987  •  decomandat,42.000 eur
"Timisoara, TM, Girocului",3 camere  •  65 m²  •  etajul 3/4  •  1980  •  semidecomandat,85.000 eur
"Craiova, DJ, Craiovita Noua",2 camere  •  51 m²  •  etajul 3/4  •  1978  •  semidecomandat,71.000 eur
"Bucuresti, IF, Margeanului",2 camere  •  55 m²  •  etajul 5  •  1990  •  decomandat,69.800 eur
"Selimbar, SB, Sud-Vest",2 camere  •  62 m²  •  etajul 2/4  •  2011  •  decomandat,90.000 eur
"Mamaia Sat, CT, Central",2 camere  •  50 m²  •  etajul 4/6  •  2020  •  decomandat,80.000 eur
"Sibiu, SB, Central",4 camere  •  120 m²  •  etajul 1/2  •  2019  •  decomandat,111.500 eur
"Brasov, BV, Centrul Istoric",2 camere  •  75 m²  •  etajul 1  •  1980  •  nedecomandat,119.000 eur
"Bucuresti, IF, Crangasi",3 camere  •  64 m²  •  etajul 3/8  •  1982  •  decomandat,109.000 eur
"Arad, AR, Aradul Nou",2 camere  •  35 m²  •  etajul 4/12+  •  1980  •  semidecomandat,45.000 eur
"Cluj-Napoca, CJ, Gheorgheni",3 camere  •  66 m²  •  etajul 2/4  •  1986  •  decomandat,150.000 eur
"Timisoara, TM, Soarelui",2 camere  •  49 m²  •  etajul 4/4  •  1985  •  decomandat,65.000 eur
"Brasov, BV, Grivitei",2 camere  •  50 m²  •  etajul 5  •  1980  •  decomandat,74.000 eur
"Timisoara, TM, Girocului",2 camere  •  48 m²  •  etajul 3  •  1982  •  decomandat,60.000 eur
"Bragadiru, IF, Nord-Vest",3 camere  •  155 m²  •  etajul 4/5  •  2011  •  decomandat,85.000 eur
"Bucuresti, IF, Aparatorii Patriei",3 camere  •  76 m²  •  etajul 1/4  •  2012  •  semidecomandat,95.000 eur
"Chiajna, IF, Central",2 camere  •  46 m²  •  etajul 4/8  •  2020  •  decomandat,48.825 eur
"Bucuresti, IF, 13 Septembrie",3 camere  •  70 m²  •  etajul 7/8  •  1987  •  decomandat,100.000 eur
"Braila, BR, Independentei",3 camere  •  75 m²  •  etajul 4  •  1990  •  decomandat,78.000 eur
"Sibiu, SB, Central",3 camere  •  73 m²  •  etajul 1/3  •  2021  •  decomandat,91.500 eur
"Iasi, IS, Pacurari",2 camere  •  72 m²  •  etajul 1/4  •  2020  •  decomandat,95.040 eur
"Bucuresti, IF, Berceni",2 camere  •  50 m²  •  etajul 1/4  •  1976  •  decomandat,75.000 eur
"Piatra Neamt, NT, Darmanesti",2 camere  •  39 m²  •  etajul 4/4  •  1974  •  semidecomandat,27.000 eur
"Bucuresti, IF, Domenii",3 camere  •  69 m²  •  etajul 4/4  •  2021  •  decomandat,175.000 eur
"Bacau, BC, Narcisa",2 camere  •  50 m²  •  etajul 4  •  1981  •  semidecomandat,38.900 eur
"Brasov, BV, Gemenii",2 camere  •  59 m²  •  etajul 4/8  •  1992  •  decomandat,85.000 eur
"Tulcea, TL, E3",2 camere  •  50 m²  •  etajul 4  •  1990  •  decomandat,59.000 eur
"Selimbar, SB, Central",3 camere  •  80 m²  •  etajul 1  •  2019  •  decomandat,119.000 eur
"Timisoara, TM, Lipovei",3 camere  •  64 m²  •  etajul 2/4  •  1990  •  semidecomandat,87.500 eur
"Bucuresti, IF, Alexandru Obregia",4 camere  •  87 m²  •  etajul 5  •  1980  •  decomandat,85.000 eur
"Floresti, CJ, Central",2 camere  •  50 m²  •  etajul 1/3  •  2020  •  semidecomandat,59.999 eur
"Braila, BR, Plantelor",4 camere  •  82 m²  •  etajul 4  •  1980  •  decomandat,85.000 eur
"Bucuresti, IF, Prelungirea Ghencea",2 camere  •  47 m²  •  etajul 1/4  •  2020  •  decomandat,50.000 eur
"Bucuresti, IF, Central",3 camere  •  49 m²  •  etajul 7/10  •  1972  •  semidecomandat,67.980 eur
"Bucuresti, IF, Pantelimon",3 camere  •  60 m²  •  etajul 8/9  •  1974  •  decomandat,73.000 eur
"Iasi, IS, Gara",1 cameră  •  28 m²  •  etajul 4  •  1989  •  semidecomandat,49.900 eur
"Constanta, CT, Stadion",3 camere  •  90 m²  •  etajul 4/8  •  1988  •  decomandat,124.000 eur
"Bucuresti, IF, Gorjului",3 camere  •  42 m²  •  etajul 2/4  •  1971  •  semidecomandat,66.000 eur
"Floresti, CJ, Central",2 camere  •  47 m²  •  etajul 3/3  •  2021  •  semidecomandat,62.900 eur
"Bucuresti, IF, Metalurgiei",2 camere  •  46 m²  •  etajul 1/8  •  2021  •  decomandat,53.300 eur
"Timisoara, TM, Spitalul Judetean",2 camere  •  57 m²  •  etajul 4/4  •  1978  •  decomandat,67.000 eur
"Constanta, CT, Inel I",2 camere  •  63 m²  •  etajul 4/4  •  1990  •  decomandat,71.000 eur
"Iasi, IS, Podu Ros",3 camere  •  70 m²  •  etajul 8/10  •  1970  •  decomandat,82.000 eur
"Iasi, IS, Pacurari",1 cameră  •  36 m²  •  etajul 7  •  2018  •  decomandat,54.500 eur
"Brasov, BV, Astra",3 camere  •  64 m²  •  etajul 2  •  1980  •  decomandat,102.000 eur
"Constanta, CT, Tomis Nord",3 camere  •  70 m²  •  etajul 7/8  •  1980  •  decomandat,115.000 eur
"Timisoara, TM, Mircea cel Batran",3 camere  •  68 m²  •  etajul 4/4  •  1987  •  decomandat,105.000 eur
"Bucuresti, IF, Bucurestii Noi",2 camere  •  48 m²  •  etajul 2/3  •  2014  •  decomandat,87.500 eur
"Bucuresti, IF, Campia Libertatii",3 camere  •  75 m²  •  etajul 8  •  1972  •  decomandat,103.000 eur
"Bucuresti, IF, Drumul Taberei",3 camere  •  65 m²  •  etajul 4/9  •  1978  •  decomandat,79.000 eur
"Bucuresti, IF, Drumul Taberei",2 camere  •  65 m²  •  etajul 2/5  •  2019  •  decomandat,100.000 eur
"Deva, HD, Garii",2 camere  •  50 m²  •  etajul 4  •  1979  •  decomandat,55.000 eur
"Zalau, SJ, Sud-Est",3 camere  •  70 m²  •  etajul 2  •  1988  •  decomandat,75.000 eur
"Oradea, BH, Garii",2 camere  •  45 m²  •  etajul 4/4  •  1977  •  semidecomandat,50.000 eur
"Brasov, BV, Astra",2 camere  •  45 m²  •  etajul 3  •  1980  •  semidecomandat,69.000 eur
"Sibiu, SB, Central",2 camere  •  44 m²  •  etajul 2/3  •  2016  •  decomandat,53.500 eur
"Sanpetru, BV, Central",2 camere  •  58 m²  •  etajul 3  •  2019  •  decomandat,77.000 eur
"Iasi, IS, Zimbru",4 camere  •  95 m²  •  etajul 8/18  •  1989  •  decomandat,96.500 eur
"Bucuresti, IF, Stefan cel Mare",3 camere  •  82 m²  •  etajul 3/10  •  1984  •  decomandat,450 eur
"Bragadiru, IF, Haliu",2 camere  •  100 m²  •  etajul 3/3  •  2015  •  decomandat,55.000 eur
"Bacau, BC, Central",3 camere  •  102 m²  •  etajul 3/10  •  1992  •  decomandat,103.000 eur
"Timisoara, TM, Medicina",2 camere  •  60 m²  •  etajul 4  •  1972  •  decomandat,90.000 eur
"Timisoara, TM, Lipovei",2 camere  •  35 m²  •  etajul 2/4  •  1980  •  semidecomandat,59.900 eur
"Chiajna, IF, Central",2 camere  •  47 m²  •  etajul 4/8  •  2020  •  decomandat,51.062 eur
"Sibiu, SB, Strand",2 camere  •  55 m²  •  etajul 4/4  •  1979  •  decomandat,73.800 eur
"Bucuresti, IF, P-ta Alba Iulia",2 camere  •  60 m²  •  etajul 5/7  •  2016  •  semidecomandat,120.000 eur
"Constanta, CT, Tomis Nord",2 camere  •  54 m²  •  etajul 5/7  •  2019  •  decomandat,89.000 eur
"Giroc, TM, Central",2 camere  •  50 m²  •  etajul 1/3  •  2021  •  decomandat,66.000 eur
"Bucuresti, IF, Mihai Bravu",3 camere  •  113 m²  •  etajul 3/3  •  2021  •  decomandat,184.965 eur
"Braila, BR, Garii",1 cameră  •  50 m²  •  etajul 4  •  1989  •  decomandat,37.000 eur
"Ramnicu Valcea, VL, Petrisor",3 camere  •  41 m²  •  etajul 1/4  •  1973  •  decomandat,38.500 eur
"Mamaia Sat, CT, Central",2 camere  •  56 m²  •  etajul 5/5  •  2020  •  decomandat,123.000 eur
"Constanta, CT, Tomis Nord",2 camere  •  43 m²  •  etajul 3  •  1980  •  semidecomandat,65.000 eur
"Brasov, BV, Astra",3 camere  •  70 m²  •  etajul 3  •  1980  •  semidecomandat,81.000 eur
"Constanta, CT, Primo",3 camere  •  99 m²  •  etajul 1/4  •  2017  •  decomandat,150.000 eur
"Bucuresti, IF, Arcul de Triumf",5 camere  •  213 m²  •  etajul 5/5  •  2000  •  decomandat,499.900 eur
"Deva, HD, Ultracentral",4 camere  •  80 m²  •  etajul 2  •  1984  •  decomandat,100.000 eur
"Bucuresti, IF, Titan",4 camere  •  82 m²  •  etajul 1/4  •  1970  •  decomandat,135.000 eur
"Sibiu, SB, Piata Cluj",4 camere  •  80 m²  •  etajul 4/4  •  2021  •  decomandat,109.000 eur
"Brasov, BV, Tractorul",2 camere  •  50 m²  •  etajul 2  •  2018  •  decomandat,81.500 eur
"Bucuresti, IF, Central",2 camere  •  51 m²  •  etajul 9/10  •  1979  •  semidecomandat,93.000 eur
"Braila, BR, Calarasi",3 camere  •  90 m²  •  etajul 8  •  1983  •  decomandat,84.000 eur
"Bucuresti, IF, Vitan",3 camere  •  74 m²  •  etajul 7/8  •  1989  •  decomandat,145.000 eur
"Brasov, BV, Astra",3 camere  •  74 m²  •  etajul 5  •  1980  •  semidecomandat,89.000 eur
"Iasi, IS, Primaverii",2 camere  •  50 m²  •  etajul 4/4  •  1990  •  semidecomandat,49.000 eur
"Arad, AR, Micalaca",3 camere  •  85 m²  •  etajul 6/6  •  1970  •  semidecomandat,56.000 eur
"Alba Iulia, AB, Cetate",3 camere  •  76 m²  •  etajul 3/3  •  2021  •  decomandat,69.000 eur
"Bucuresti, IF, Floreasca",3 camere  •  135 m²  •  etajul 6/8  •  2010  •  decomandat,429.000 eur
"Bucuresti, IF, Sebastian",2 camere  •  64 m²  •  etajul 5/8  •  1988  •  decomandat,92.000 eur
"Iasi, IS, Nicolina",3 camere  •  88 m²  •  etajul 6  •  1985  •  decomandat,92.000 eur
"Bucuresti, IF, Titulescu",4 camere  •  90 m²  •  etajul 2/10  •  1983  •  decomandat,189.000 eur
"Slatina, OT, Tudor Vladimirescu",2 camere  •  41 m²  •  etajul 3/4  •  2021  •  semidecomandat,40.900 eur
"Bucuresti, IF, Dristor",2 camere  •  50 m²  •  etajul 8/8  •  1986  •  decomandat,70.000 eur
"Bucuresti, IF, Crangasi",2 camere  •  64 m²  •  etajul 3/8  •  1982  •  decomandat,93.000 eur
"Galati, GL, Micro 39",4 camere  •  57 m²  •  etajul 1  •  1982  •  semidecomandat,57.000 eur
"Iasi, IS, Cug",2 camere  •  52 m²  •  etajul 3  •  2016  •  decomandat,63.000 eur
"Brasov, BV, Tractorul",2 camere  •  58 m²  •  etajul 5/9  •  2016  •  decomandat,95.000 eur
"Brasov, BV, Tractorul",2 camere  •  50 m²  •  etajul 2  •  1980  •  semidecomandat,69.500 eur
"Constanta, CT, I.C.Bratianu",3 camere  •  52 m²  •  etajul 4/4  •  1985  •  semidecomandat,60.000 eur
"Baicoi, PH, Central",2 camere  •  40 m²  •  etajul 4/4  •  1977  •  semidecomandat,23.500 eur
"Ramnicu Valcea, VL, Aranghel",3 camere  •  8 m²  •  etajul 4  •  1980  •  decomandat,58.000 eur
"Chiajna, IF, Central",2 camere  •  49 m²  •  etajul 7/8  •  2020  •  decomandat,52.675 eur
"Bucuresti, IF, Militari",3 camere  •  64 m²  •  etajul 8/8  •  1986  •  decomandat,98.000 eur
"Arad, AR, Central",4 camere  •  96 m²  •  etajul 3/4  •  1980  •  decomandat,75.800 eur
"Sibiu, SB, Valea Aurie",3 camere  •  65 m²  •  etajul 3/4  •  1985  •  decomandat,95.000 eur
"Braila, BR, Hipodrom",4 camere  •  76 m²  •  etajul 4/4  •  1975  •  semidecomandat,50.000 eur
"Bucuresti, IF, Lacul Tei",1 cameră  •  26 m²  •  etajul 4/4  •  1982  •  decomandat,46.300 eur
"Constanta, CT, Inel II",2 camere  •  63 m²  •  etajul 3/4  •  1991  •  semidecomandat,83.500 eur
"Brasov, BV, Racadau",3 camere  •  70 m²  •  etajul 2  •  1980  •  decomandat,107.000 eur
"Bragadiru, IF, Haliu",2 camere  •  65 m²  •  etajul 1/3  •  2015  •  decomandat,45.900 eur
"Braila, BR, Bariera",3 camere  •  85 m²  •  etajul 6  •  1988  •  decomandat,77.500 eur
"Bucuresti, IF, Ghencea",2 camere  •  58 m²  •  etajul 3/11  •  2021  •  decomandat,95.000 eur
"Braila, BR, Radu Negru",2 camere  •  50 m²  •  etajul 2  •  1980  •  decomandat,57.000 eur
"Bucuresti, IF, Obor",3 camere  •  70 m²  •  etajul 6/8  •  1982  •  decomandat,105.000 eur
"Brasov, BV, Avantgarden",3 camere  •  72 m²  •  etajul 3  •  2021  •  decomandat,125.000 eur
"Bucuresti, IF, Apusului",4 camere  •  81 m²  •  etajul 6/8  •  1984  •  decomandat,131.500 eur
"Bucuresti, IF, Prelungirea Ghencea",2 camere  •  51 m²  •  etajul 4/12+  •  2021  •  semidecomandat,71.500 eur
"Baia Mare, MM, Traian",3 camere  •  65 m²  •  etajul 7  •  1980  •  decomandat,67.000 eur
"Chiajna, IF, Central",2 camere  •  46 m²  •  etajul 8/8  •  2020  •  decomandat,49.987 eur
"Bucuresti, IF, Militari",2 camere  •  52 m²  •  etajul 9/10  •  1974  •  circular,54.999 eur
"Bucuresti, IF, Crangasi",3 camere  •  68 m²  •  etajul 2  •  1985  •  decomandat,89.000 eur
"Bucuresti, IF, Bucurestii Noi",2 camere  •  51 m²  •  etajul 2/3  •  2014  •  decomandat,86.900 eur
"Iasi, IS, Zimbru",2 camere  •  63 m²  •  etajul 9/11  •  1977  •  decomandat,76.000 eur
"Bucuresti, IF, Prelungirea Ghencea",1 cameră  •  27 m²  •  etajul 1/7  •  2021  •  semidecomandat,35.700 eur
"Constanta, CT, I.C.Bratianu",3 camere  •  67 m²  •  etajul 6/10  •  2016  •  decomandat,119.000 eur
"Piatra Neamt, NT, Darmanesti",1 cameră  •  28 m²  •  etajul 1/4  •  1988  •  decomandat,23.000 eur
"Bucuresti, IF, Theodor Pallady",3 camere  •  68 m²  •  etajul 2/3  •  2021  •  semidecomandat,100.000 eur
"Alba Iulia, AB, Cetate",3 camere  •  70 m²  •  etajul 3/4  •  1986  •  decomandat,71.000 eur
"Craiova, DJ, 1 Mai",3 camere  •  78 m²  •  etajul 3/4  •  1989  •  decomandat,118.000 eur
"Iasi, IS, Pacurari",3 camere  •  60 m²  •  etajul 3/4  •  1983  •  decomandat,80.000 eur
"Bucuresti, IF, Pantelimon",3 camere  •  65 m²  •  etajul 4/10  •  1978  •  semidecomandat,87.500 eur
"Bucuresti, IF, Campia Libertatii",2 camere  •  55 m²  •  etajul 5/8  •  1973  •  decomandat,130.000 eur
"Focsani, VN, Sud",3 camere  •  52 m²  •  etajul 4/4  •  1977  •  decomandat,44.500 eur
"Hunedoara, HD, Central",3 camere  •  62 m²  •  etajul 9  •  1970  •  decomandat,26.499 eur
"Iasi, IS, Tatarasi",4 camere  •  125 m²  •  etajul 4  •  2004  •  decomandat,100.000 eur
"Iasi, IS, Pacurari",1 cameră  •  37 m²  •  etajul 2/3  •  2021  •  decomandat,45.480 eur
"Constanta, CT, Km 4",3 camere  •  67 m²  •  etajul 3/3  •  2012  •  semidecomandat,115.000 eur
"Bucuresti, IF, Central",3 camere  •  65 m²  •  etajul 1/4  •  1974  •  decomandat,82.000 eur
"Iasi, IS, Alexandru cel Bun",2 camere  •  37 m²  •  etajul 2/4  •  1971  •  nedecomandat,45.000 eur
"Bucuresti, IF, Drumul Taberei",3 camere  •  76 m²  •  etajul 4/4  •  1970  •  decomandat,118.000 eur
"Mamaia, CT, Nord",2 camere  •  50 m²  •  etajul 2/9  •  2020  •  decomandat,116.500 eur
"Sibiu, SB, Industrial Vest",2 camere  •  53 m²  •  etajul 1/2  •  2021  •  decomandat,70.000 eur
"Tulcea, TL, Central",3 camere  •  76 m²  •  etajul 4  •  1998  •  decomandat,87.000 eur
"Oradea, BH, Oncea",3 camere  •  90 m²  •  etajul 1/4  •  2021  •  decomandat,81.500 eur
"Ramnicu Valcea, VL, Ostroveni",2 camere  •  40 m²  •  etajul 4  •  1977  •  semidecomandat,31.000 eur
"Constanta, CT, Mamaia Sat",2 camere  •  32 m²  •  etajul 3  •  2020  •  semidecomandat,80.000 eur
"Brasov, BV, Avantgarden",2 camere  •  68 m²  •  etajul 7  •  2018  •  decomandat,102.000 eur
"Bucuresti, IF, Berceni",2 camere  •  49 m²  •  etajul 8/10  •  1974  •  decomandat,65.000 eur
"Bucuresti, IF, 1 Decembrie 1918",2 camere  •  49 m²  •  etajul 8  •  1971  •  semidecomandat,70.000 eur
"Arad, AR, Ultracentral",4 camere  •  128 m²  •  etajul 1  •  1970  •  decomandat,89.900 eur
"Sibiu, SB, Turnisor",3 camere  •  61 m²  •  etajul 2/3  •  2017  •  decomandat,89.000 eur
"Floresti, CJ, Central",2 camere  •  48 m²  •  etajul 2/4  •  2021  •  semidecomandat,83.000 eur
"Bucuresti, IF, Berceni",3 camere  •  71 m²  •  etajul 7/10  •  1977  •  semidecomandat,81.000 eur
"Bucuresti, IF, Drumul Taberei",4 camere  •  78 m²  •  etajul 2/10  •  1985  •  decomandat,147.000 eur
"Tulcea, TL, Central",4 camere  •  73 m²  •  etajul 3/4  •  1970  •  decomandat,80.000 eur
"Brasov, BV, Astra",4 camere  •  77 m²  •  etajul 3  •  1980  •  decomandat,107.000 eur
"Timisoara, TM, Girocului",2 camere  •  38 m²  •  etajul 4/5  •  1980  •  semidecomandat,65.000 eur
"Bucuresti, IF, Dacia",3 camere  •  186 m²  •  etajul 5/5  •  2021  •  decomandat,350.000 eur
"Bucuresti, IF, Pantelimon",2 camere  •  55 m²  •  etajul 3/10  •  1976  •  semidecomandat,77.000 eur
"Popesti Leordeni, IF, Central",2 camere  •  61 m²  •  etajul 2/6  •  2021  •  semidecomandat,76.900 eur
"Craiova, DJ, Craiovita Noua",3 camere  •  83 m²  •  etajul 4/12+  •  1990  •  decomandat,99.000 eur
"Tulcea, TL, Big",2 camere  •  47 m²  •  etajul 1  •  1980  •  semidecomandat,50.000 eur
"Bucuresti, IF, Central",3 camere  •  60 m²  •  etajul 4/12+  •  2021  •  decomandat,135.000 eur
"Bucuresti, IF, Barbu Vacarescu",3 camere  •  86 m²  •  etajul 8/12+  •  2010  •  semidecomandat,168.000 eur
"Timisoara, TM, Olimpia-Stadion",2 camere  •  50 m²  •  etajul 1/10  •  1980  •  decomandat,82.000 eur
"Bragadiru, IF, Haliu",2 camere  •  55 m²  •  etajul 2/3  •  2020  •  decomandat,59.000 eur
"Bucuresti, IF, Bucurestii Noi",3 camere  •  70 m²  •  etajul 3/3  •  2021  •  decomandat,109.000 eur
"Bucuresti, IF, Turda",2 camere  •  53 m²  •  etajul 4  •  1984  •  decomandat,89.900 eur
"Iasi, IS, Cug",2 camere  •  61 m²  •  etajul 2/4  •  2016  •  decomandat,88.900 eur
"Bucuresti, IF, 1 Decembrie 1918",2 camere  •  55 m²  •  etajul 6  •  1976  •  decomandat,66.500 eur
"Timisoara, TM, Steaua",3 camere  •  64 m²  •  etajul 2/4  •  1986  •  decomandat,84.000 eur
"Bucuresti, IF, Splaiul Unirii",3 camere  •  104 m²  •  etajul 6/6  •  2021  •  decomandat,160.500 eur
"Bucuresti, IF, Tineretului",2 camere  •  58 m²  •  etajul 4/4  •  1986  •  decomandat,98.500 eur
"Bucuresti, IF, Aviatiei",3 camere  •  78 m²  •  etajul 4/4  •  2017  •  decomandat,165.000 eur
"Craiova, DJ, Craiovita Noua",3 camere  •  54 m²  •  etajul 1/12+  •  1978  •  semidecomandat,75.000 eur
"Galati, GL, Ultimul leu",3 camere  •  90 m²  •  etajul 9/11  •  2008  •  decomandat,117.000 eur
"Bucuresti, IF, Berceni",2 camere  •  51 m²  •  etajul 4/4  •  1970  •  semidecomandat,51.000 eur
"Constanta, CT, Central",2 camere  •  52 m²  •  etajul 1/4  •  1984  •  decomandat,89.000 eur
"Sibiu, SB, Central",3 camere  •  55 m²  •  etajul 3/5  •  2016  •  decomandat,80.000 eur
"Bucuresti, IF, Militari",2 camere  •  57 m²  •  etajul 8  •  2020  •  decomandat,60.375 eur
"Bucuresti, IF, Berceni",4 camere  •  85 m²  •  etajul 2/4  •  1985  •  decomandat,95.000 eur
"Brasov, BV, Tractorul",4 camere  •  80 m²  •  etajul 1  •  1980  •  decomandat,125.000 eur
"Bucuresti, IF, Drumul Taberei",2 camere  •  50 m²  •  etajul 6/10  •  1972  •  semidecomandat,64.500 eur
"Bragadiru, IF, Haliu",3 camere  •  90 m²  •  etajul 1/1  •  2021  •  decomandat,70.000 eur
"Brasov, BV, Grivitei",3 camere  •  56 m²  •  etajul 3  •  1980  •  decomandat,76.000 eur
"Bucuresti, IF, Decebal",2 camere  •  56 m²  •  etajul 2/4  •  1986  •  decomandat,103.500 eur
"Floresti, CJ, Central",2 camere  •  55 m²  •  etajul 2/3  •  2011  •  decomandat,73.000 eur
"Drobeta Turnu Severin, MH, Crihala",3 camere  •  50 m²  •  etajul 4/4  •  1977  •  semidecomandat,38.000 eur
"Bucuresti, IF, Vitan",2 camere  •  54 m²  •  etajul 1/4  •  1986  •  decomandat,89.000 eur
"Bucuresti, IF, Drumul Taberei",2 camere  •  62 m²  •  etajul 3/3  •  2019  •  decomandat,73.400 eur
"Cluj-Napoca, CJ, Gheorgheni",2 camere  •  42 m²  •  etajul 7/7  •  2020  •  semidecomandat,155.000 eur
"Iasi, IS, Dancu",3 camere  •  62 m²  •  etajul 2  •  2020  •  semidecomandat,68.500 eur
"Iasi, IS, Canta",3 camere  •  70 m²  •  etajul 1  •  2021  •  decomandat,100.000 eur
"Timisoara, TM, Girocului",2 camere  •  48 m²  •  etajul 5  •  2011  •  decomandat,61.000 eur
"Deva, HD, Zavoi",3 camere  •  90 m²  •  etajul 1  •  2021  •  decomandat,1.000 eur
"Bucuresti, IF, Bucurestii Noi",2 camere  •  45 m²  •  etajul 3/3  •  2008  •  nedecomandat,75.000 eur
"Brasov, BV, Astra",3 camere  •  70 m²  •  etajul 9  •  1980  •  decomandat,100.000 eur
"Bucuresti, IF, Lacul Morii",3 camere  •  63 m²  •  etajul 8/10  •  2018  •  decomandat,90.000 eur
"Bucuresti, IF, Militari",2 camere  •  64 m²  •  etajul 7/8  •  2021  •  decomandat,91.428 eur
"Ploiesti, PH, Ultracentral",3 camere  •  68 m²  •  etajul 2/8  •  1995  •  decomandat,84.990 eur
"Bucuresti, IF, Vacaresti",2 camere  •  54 m²  •  etajul 1/3  •  2017  •  decomandat,140.000 eur
"Iasi, IS, Copou",2 camere  •  48 m²  •  etajul 1  •  2019  •  decomandat,57.800 eur
"Bucuresti, IF, Aparatorii Patriei",3 camere  •  76 m²  •  etajul 1/4  •  2012  •  semidecomandat,95.000 eur
"Resita, CS, Micro IV",3 camere  •  92 m²  •  etajul 8/8  •  1980  •  decomandat,56.900 eur
"Bucuresti, IF, Aviatiei",2 camere  •  54 m²  •  etajul 1/3  •  2020  •  semidecomandat,167.000 eur
"Bucuresti, IF, Fizicienilor",3 camere  •  72 m²  •  etajul 3  •  1984  •  decomandat,95.000 eur
"Bucuresti, IF, Central",4 camere  •  82 m²  •  etajul 3/10  •  1984  •  decomandat,129.990 eur
"Bucuresti, IF, Titan",3 camere  •  97 m²  •  etajul 3/3  •  2019  •  semidecomandat,169.500 eur
"Baia Mare, MM, Ultracentral",4 camere  •  85 m²  •  etajul 4  •  1980  •  decomandat,105.000 eur
"Mioveni, AG, Central",2 camere  •  57 m²  •  etajul 4  •  1977  •  semidecomandat,56.000 eur
"Bucuresti, IF, Marasesti",2 camere  •  60 m²  •  etajul 1/4  •  2020  •  decomandat,179.000 eur
"Brasov, BV, Vlahuta",2 camere  •  52 m²  •  etajul 9  •  1980  •  circular,70.000 eur
"Iasi, IS, Baza 3",2 camere  •  62 m²  •  etajul 5  •  2018  •  semidecomandat,65.000 eur
"Iasi, IS, Gara",3 camere  •  70 m²  •  etajul 3/8  •  1985  •  decomandat,115.000 eur
"Sibiu, SB, Central",3 camere  •  100 m²  •  etajul 5/5  •  2021  •  nedecomandat,148.500 eur
"Brasov, BV, Racadau",2 camere  •  50 m²  •  etajul 4  •  1980  •  semidecomandat,55.000 eur
"Constanta, CT, Faleza Nord",2 camere  •  50 m²  •  etajul 4/4  •  1990  •  decomandat,77.000 eur
"Poiana Brasov, BV, Central",3 camere  •  135 m²  •  etajul 1/4  •  2011  •  decomandat,280.000 eur
"Chiajna, IF, Central",2 camere  •  67 m²  •  etajul 4/8  •  2013  •  decomandat,79.900 eur
