locatie,detalii,pret
"Brasov, BV, Bartolomeu",2 camere  •  56 m²  •  etajul 1/2  •  2020  •  semidecomandat,88.440 eur
"Calarasi, CL, Orizont",3 camere  •  50 m²  •  etajul 1  •  1977  •  nedecomandat,48.000 eur
"Bucuresti, IF, Pacii",2 camere  •  65 m²  •  etajul 4/8  •  2010  •  decomandat,110.000 eur
"Oradea, BH, Central",2 camere  •  33 m²  •  etajul 4/5  •  1990  •  semidecomandat,42.900 eur
"Constanta, CT, Mamaia Nord",2 camere  •  56 m²  •  etajul 5/8  •  2015  •  semidecomandat,135.000 eur
"Bucuresti, IF, Brancoveanu",3 camere  •  75 m²  •  etajul 1/8  •  1990  •  decomandat,133.000 eur
"Brasov, BV, Tractorul",2 camere  •  56 m²  •  etajul 2  •  1980  •  decomandat,74.000 eur
"Popesti Leordeni, IF, Central",2 camere  •  60 m²  •  etajul 2/6  •  2021  •  semidecomandat,76.900 eur
"Pitesti, AG, Trivale",2 camere  •  49 m²  •  etajul 3  •  1976  •  decomandat,55.900 eur
"Constanta, CT, Mamaia Nord",1 cameră  •  44 m²  •  etajul 5/10  •  2021  •  semidecomandat,86.000 eur
"Bucuresti, IF, Iancului",3 camere  •  74 m²  •  etajul 8/14  •  1978  •  decomandat,119.990 eur
"Iasi, IS, Copou",3 camere  •  83 m²  •  etajul 5  •  2021  •  semidecomandat,165.000 eur
"Timisoara, TM, Aradului",2 camere  •  54 m²  •  etajul 5/6  •  2007  •  decomandat,105.000 eur
"Timisoara, TM, P-ta Doina",3 camere  •  50 m²  •  etajul 3/4  •  1979  •  semidecomandat,63.000 eur
"Giroc, TM, Central",2 camere  •  50 m²  •  etajul 3/6  •  2021  •  decomandat,65.500 eur
"Bucuresti, IF, Berceni",4 camere  •  87 m²  •  etajul 5/10  •  1981  •  semidecomandat,107.000 eur
"Cluj-Napoca, CJ, Manastur",2 camere  •  45 m²  •  etajul 1/2  •  2010  •  semidecomandat,99.000 eur
"Ploiesti, PH, Central",4 camere  •  135 m²  •  etajul 8/8  •  2021  •  decomandat,119.900 eur
"Bragadiru, IF, Haliu",2 camere  •  53 m²  •  etajul 2  •  2020  •  decomandat,44.500 eur
"Botosani, BT, Central",2 camere  •  46 m²  •  etajul 4/4  •  1980  •  decomandat,46.900 eur
"Bucuresti, IF, Oltenitei",3 camere  •  74 m²  •  etajul 8  •  1984  •  decomandat,87.500 eur
"Giroc, TM, Central",2 camere  •  48 m²  •  etajul 2/3  •  2019  •  semidecomandat,66.999 eur
"Bucuresti, IF, Militari",3 camere  •  77 m²  •  etajul 6/7  •  2016  •  decomandat,82.000 eur
"Constanta, CT, Stadion",2 camere  •  58 m²  •  etajul 2/3  •  2021  •  decomandat,110.000 eur
"Sibiu, SB, Industrial Vest",2 camere  •  52 m²  •  etajul 1/2  •  2021  •  semidecomandat,70.000 eur
"Fagaras, BV, Sud",1 cameră  •  21 m²  •  etajul 1/4  •  1990  •  decomandat,17.795 lei
"Bacau, BC, Narcisa",3 camere  •  90 m²  •  etajul 2/10  •  1977  •  decomandat,78.000 eur
"Bucuresti, IF, Sisesti",2 camere  •  40 m²  •  etajul 3/6  •  2009  •  semidecomandat,105.000 eur
"Popesti Leordeni, IF, Central",3 camere  •  70 m²  •  etajul 2/2  •  2013  •  decomandat,74.000 eur
"Tulcea, TL, Central",3 camere  •  57 m²  •  etajul 4  •  1979  •  semidecomandat,58.000 eur
"Timisoara, TM, Sagului",2 camere  •  45 m²  •  etajul 5  •  2014  •  decomandat,54.500 eur
"Voluntari, IF, Vest",3 camere  •  76 m²  •  etajul 2/3  •  2021  •  decomandat,140.000 eur
"Voluntari, IF, Central",2 camere  •  68 m²  •  etajul 2/3  •  2021  •  decomandat,102.180 eur
"Pitesti, AG, Popa Sapca",3 camere  •  90 m²  •  etajul 1  •  2014  •  semidecomandat,125.000 eur
"Brasov, BV, Centrul Civic",3 camere  •  67 m²  •  etajul 7/7  •  1980  •  semidecomandat,89.000 eur
"Iasi, IS, Moara de Vant",2 camere  •  54 m²  •  etajul 2/4  •  2021  •  decomandat,70.000 eur
"Brasov, BV, Tractorul",2 camere  •  48 m²  •  etajul 6  •  2010  •  decomandat,93.500 eur
"Bucuresti, IF, Sebastian",3 camere  •  86 m²  •  etajul 8/8  •  1990  •  decomandat,99.000 eur
"Braila, BR, Hipodrom",2 camere  •  50 m²  •  etajul 3  •  1975  •  semidecomandat,45.900 eur
"Floresti, CJ, Central",3 camere  •  69 m²  •  etajul 3/3  •  2021  •  decomandat,100.000 eur
"Constanta, CT, Faleza Nord",2 camere  •  220 m²  •  etajul 6/7  •  2011  •  semidecomandat,168.000 eur
"Galati, GL, Micro 14",2 camere  •  51 m²  •  etajul 4/4  •  1981  •  decomandat,58.000 eur
"Floresti, CJ, Central",2 camere  •  51 m²  •  etajul 2/3  •  2008  •  semidecomandat,69.000 eur
"Constanta, CT, Tomis Plus",3 camere  •  65 m²  •  etajul 8/8  •  2019  •  decomandat,109.000 eur
"Constanta, CT, Km 5",2 camere  •  62 m²  •  etajul 1/7  •  2018  •  decomandat,90.000 eur
"Bacau, BC, Narcisa",3 camere  •  63 m²  •  etajul 3  •  1982  •  decomandat,61.900 eur
"Brasov, BV, Racadau",2 camere  •  56 m²  •  etajul 1  •  1980  •  decomandat,87.500 eur
"Timisoara, TM, Central",4 camere  •  101 m²  •  etajul 1/2  •  2021  •  decomandat,185.000 eur
"Bucuresti, IF, Rahova",3 camere  •  36 m²  •  etajul 1  •  1977  •  semidecomandat,37.000 eur
"Brasov, BV, Vlahuta",2 camere  •  50 m²  •  etajul 5  •  1980  •  decomandat,82.000 eur
"Brasov, BV, Garii",2 camere  •  45 m²  •  etajul 3  •  1980  •  decomandat,62.000 eur
"Galati, GL, Micro 21",2 camere  •  50 m²  •  etajul 6/10  •  1975  •  decomandat,58.000 eur
"Poiana Brasov, BV, Central",3 camere  •  109 m²  •  etajul 2/5  •  2009  •  decomandat,310.000 eur
"Bucuresti, IF, 1 Decembrie 1918",2 camere  •  50 m²  •  etajul 2  •  2021  •  decomandat,75.000 eur
"Bucuresti, IF, Socului",3 camere  •  60 m²  •  etajul 8/8  •  1977  •  decomandat,95.000 eur
"Botosani, BT, Central",2 camere  •  42 m²  •  etajul 4  •  1980  •  semidecomandat,43.900 eur
"Bucuresti, IF, Oltenitei",4 camere  •  87 m²  •  etajul 9/10  •  1984  •  semidecomandat,125.000 eur
"Bucuresti, IF, Grozavesti",2 camere  •  64 m²  •  etajul 7/9  •  2020  •  decomandat,145.000 eur
"Constanta, CT, Kamsas",1 cameră  •  36 m²  •  etajul 5/6  •  2015  •  decomandat,59.000 eur
"Bucuresti, IF, Dristor",3 camere  •  70 m²  •  etajul 1/8  •  1990  •  decomandat,128.000 eur
"Bucuresti, IF, Damaroaia",3 camere  •  76 m²  •  etajul 2/3  •  2015  •  semidecomandat,141.000 eur
"Bucuresti, IF, Titan",2 camere  •  50 m²  •  etajul 4  •  1970  •  decomandat,85.000 eur
"Sibiu, SB, Calea Cisnadiei",2 camere  •  57 m²  •  etajul 2/3  •  2020  •  nedecomandat,79.500 eur
"Chiajna, IF, Central",3 camere  •  68 m²  •  etajul 4/8  •  2020  •  decomandat,65.075 eur
"Bucuresti, IF, Colentina",4 camere  •  116 m²  •  etajul 3/4  •  2010  •  decomandat,120.000 eur
"Brasov, BV, Racadau",3 camere  •  64 m²  •  etajul 3/4  •  1983  •  decomandat,94.900 eur
"Tulcea, TL, Vest",4 camere  •  78 m²  •  etajul 1/4  •  1985  •  decomandat,79.000 eur
"Bucuresti, IF, Berceni",2 camere  •  49 m²  •  etajul 1/3  •  2018  •  decomandat,70.900 eur
"Iasi, IS, Dacia",1 cameră  •  40 m²  •  etajul 4/7  •  2021  •  decomandat,56.923 eur
"Brasov, BV, Racadau",3 camere  •  70 m²  •  etajul 2  •  1980  •  decomandat,110.000 eur
"Brasov, BV, Poiana Brasov",4 camere  •  294 m²  •  etajul 2  •  2015  •  decomandat,592.000 eur
"Tulcea, TL, Babadag",4 camere  •  81 m²  •  etajul 4  •  1998  •  decomandat,75.000 eur
"Brasov, BV, Calea Bucuresti",2 camere  •  52 m²  •  etajul 4  •  1980  •  decomandat,88.000 eur
"Bucuresti, IF, Dristor",2 camere  •  48 m²  •  etajul 8/10  •  1972  •  decomandat,70.000 eur
"Mamaia Sat, CT, Central",2 camere  •  65 m²  •  etajul 4/5  •  2019  •  semidecomandat,100.000 eur
